,Kruskal_time,Prim_time,Num_of_nodes,Completeness
593,0.02254,0.07218,150.0,4.0
594,0.02203,0.07137,150.0,5.0
595,0.02202,0.07151,150.0,6.0
596,0.02171,0.07139,150.0,7.0
597,0.0225,0.07427,150.0,8.0
598,0.02278,0.07177,150.0,9.0
599,0.02189,0.09181,150.0,10.0
600,0.02198,0.07125,150.0,1.0
601,0.02177,0.07151,150.0,2.0
602,0.02291,0.07312,150.0,3.0
603,0.02229,0.07254,150.0,4.0
604,0.02204,0.07176,150.0,5.0
605,0.03021,0.08023,150.0,6.0
606,0.02227,0.07374,150.0,7.0
607,0.02194,0.07237,150.0,8.0
608,0.02209,0.07245,150.0,9.0
609,0.02193,0.07358,150.0,10.0
610,0.02336,0.07363,150.0,1.0
611,0.02311,0.07334,150.0,2.0
612,0.02219,0.07293,150.0,3.0
613,0.02192,0.0713,150.0,4.0
614,0.0219,0.07138,150.0,5.0
615,0.02183,0.07313,150.0,6.0
616,0.02184,0.07194,150.0,7.0
617,0.02181,0.07147,150.0,8.0
618,0.02205,0.08435,150.0,9.0
619,0.02368,0.07643,150.0,10.0
620,0.02355,0.08225,150.0,1.0
621,0.02357,0.07701,150.0,2.0
622,0.02219,0.0716,150.0,3.0
623,0.02197,0.07367,150.0,4.0
624,0.02358,0.07626,150.0,5.0
625,0.02348,0.07417,150.0,6.0
626,0.02246,0.07163,150.0,7.0
627,0.02177,0.07174,150.0,8.0
628,0.02204,0.07256,150.0,9.0
629,0.02203,0.07133,150.0,10.0
630,0.02195,0.07386,150.0,1.0
631,0.02303,0.07457,150.0,2.0
632,0.02345,0.07389,150.0,3.0
633,0.02335,0.07469,150.0,4.0
634,0.0237,0.0746,150.0,5.0
635,0.02337,0.07323,150.0,6.0
636,0.02289,0.07254,150.0,7.0
637,0.02251,0.07252,150.0,8.0
638,0.02219,0.07164,150.0,9.0
639,0.02196,0.07138,150.0,10.0
640,0.02188,0.07373,150.0,1.0
641,0.02295,0.07327,150.0,2.0
642,0.02216,0.07139,150.0,3.0
643,0.02185,0.07133,150.0,4.0
644,0.02202,0.07127,150.0,5.0
645,0.02193,0.07296,150.0,6.0
646,0.02373,0.07458,150.0,7.0
647,0.02293,0.07207,150.0,8.0
648,0.02204,0.07168,150.0,9.0
649,0.02194,0.07159,150.0,10.0
650,0.01756,0.05933,140.0,1.0
651,0.01764,0.07664,140.0,2.0
652,0.01777,0.05887,140.0,3.0
653,0.01741,0.05845,140.0,4.0
654,0.01754,0.05852,140.0,5.0
655,0.01751,0.05935,140.0,6.0
656,0.01771,0.05887,140.0,7.0
657,0.01767,0.05899,140.0,8.0
658,0.01768,0.05955,140.0,9.0
659,0.01765,0.05857,140.0,10.0
660,0.01819,0.05822,140.0,1.0
661,0.01786,0.05944,140.0,2.0
662,0.01765,0.05871,140.0,3.0
663,0.01769,0.05886,140.0,4.0
664,0.01765,0.05803,140.0,5.0
665,0.01728,0.05889,140.0,6.0
666,0.01774,0.05967,140.0,7.0
667,0.01805,0.05866,140.0,8.0
668,0.01861,0.05873,140.0,9.0
669,0.01762,0.05832,140.0,10.0
670,0.01775,0.05904,140.0,1.0
671,0.0185,0.05885,140.0,2.0
672,0.01789,0.059,140.0,3.0
673,0.01748,0.0582,140.0,4.0
674,0.01869,0.05869,140.0,5.0
675,0.01753,0.05918,140.0,6.0
676,0.01766,0.05813,140.0,7.0
677,0.01778,0.05947,140.0,8.0
678,0.01764,0.05856,140.0,9.0
679,0.01767,0.0585,140.0,10.0
680,0.01732,0.05845,140.0,1.0
681,0.01757,0.05848,140.0,2.0
682,0.01758,0.05842,140.0,3.0
683,0.01754,0.06006,140.0,4.0
684,0.01759,0.0582,140.0,5.0
685,0.0175,0.05846,140.0,6.0
686,0.01767,0.05852,140.0,7.0
687,0.01743,0.05852,140.0,8.0
688,0.01737,0.05916,140.0,9.0
689,0.01714,0.05821,140.0,10.0
690,0.01728,0.05842,140.0,1.0
